sg_window,sg_poly,prominence,distance,n_peaks,score,mean_prominence,tp,fp,fn,precision,recall,f1,mae,tol_abs,peaks_diff
61,2,0.05,40,60,0.5454545454545455,30.5041604445409,24,36,4,0.4,0.8571428571428571,0.5454545454545455,2.5833333333333335,15,32
61,3,0.07,40,60,0.5454545454545455,30.615048267247523,24,36,4,0.4,0.8571428571428571,0.5454545454545455,2.5833333333333335,15,32
101,3,0.07,20,60,0.5454545454545455,22.180452856570746,24,36,4,0.4,0.8571428571428571,0.5454545454545455,3.9166666666666665,15,32
81,2,0.03,30,60,0.5454545454545455,25.44591270577946,24,36,4,0.4,0.8571428571428571,0.5454545454545455,5.208333333333333,15,32
81,2,0.05,30,57,0.5411764705882353,26.782972058589188,23,34,5,0.40350877192982454,0.8214285714285714,0.5411764705882353,5.304347826086956,15,29
81,3,0.07,30,57,0.5411764705882353,26.836701244833645,23,34,5,0.40350877192982454,0.8214285714285714,0.5411764705882353,5.304347826086956,15,29
41,2,0.12,30,72,0.5399999999999999,31.93997677458103,27,45,1,0.375,0.9642857142857143,0.5399999999999999,3.2962962962962963,15,44
41,3,0.12,30,72,0.5399999999999999,31.995349801775433,27,45,1,0.375,0.9642857142857143,0.5399999999999999,3.2962962962962963,15,44
61,2,0.03,40,61,0.5393258426966292,30.004684936937235,24,37,4,0.39344262295081966,0.8571428571428571,0.5393258426966292,2.5833333333333335,15,33
61,3,0.05,40,61,0.5393258426966292,30.11414481981211,24,37,4,0.39344262295081966,0.8571428571428571,0.5393258426966292,2.5833333333333335,15,33
81,2,0.12,20,61,0.5393258426966292,25.06902740293544,24,37,4,0.39344262295081966,0.8571428571428571,0.5393258426966292,4.875,15,33
81,3,0.03,30,61,0.5393258426966292,25.07985581922013,24,37,4,0.39344262295081966,0.8571428571428571,0.5393258426966292,5.208333333333333,15,33
101,2,0.03,30,54,0.5365853658536585,24.318407268899946,22,32,6,0.4074074074074074,0.7857142857142857,0.5365853658536585,4.818181818181818,15,26
31,2,0.12,30,69,0.5360824742268041,37.934121295340546,26,43,2,0.37681159420289856,0.9285714285714286,0.5360824742268041,1.9230769230769231,15,41
31,3,0.12,30,69,0.5360824742268041,37.98726234992388,26,43,2,0.37681159420289856,0.9285714285714286,0.5360824742268041,1.9230769230769231,15,41
81,3,0.05,30,58,0.5348837209302326,26.374928447676623,23,35,5,0.39655172413793105,0.8214285714285714,0.5348837209302326,5.304347826086956,15,30
41,2,0.09,30,73,0.5346534653465346,31.50374569414538,27,46,1,0.3698630136986301,0.9642857142857143,0.5346534653465346,3.2962962962962963,15,45
41,3,0.09,30,73,0.5346534653465346,31.558360186720684,27,46,1,0.3698630136986301,0.9642857142857143,0.5346534653465346,3.2962962962962963,15,45
61,3,0.03,40,62,0.5333333333333333,29.629015943375094,24,38,4,0.3870967741935484,0.8571428571428571,0.5333333333333333,2.5833333333333335,15,34
81,2,0.09,20,62,0.5333333333333333,24.666245212162035,24,38,4,0.3870967741935484,0.8571428571428571,0.5333333333333333,4.875,15,34
81,3,0.12,20,62,0.5333333333333333,24.71495345491487,24,38,4,0.3870967741935484,0.8571428571428571,0.5333333333333333,4.875,15,34
81,3,0.09,20,63,0.5274725274725274,24.324184853646138,24,39,4,0.38095238095238093,0.8571428571428571,0.5274725274725274,4.875,15,35
31,2,0.03,30,75,0.5242718446601942,34.90591832279205,27,48,1,0.36,0.9642857142857143,0.5242718446601942,2.0,15,47
31,3,0.03,30,75,0.5242718446601942,34.95480809300871,27,48,1,0.36,0.9642857142857143,0.5242718446601942,2.0,15,47
