! XYN file created by WinPLOTR
!            X_1            Yobs
        24.54160        30.00000
        24.57500        20.00000
        24.60839        23.00000
        24.64179        17.00000
        24.67519        21.00000
        24.70869        18.00000
        24.74209        17.00000
        24.77549        26.00000
        24.80889        25.00000
        24.84239        18.00000
        24.87579        20.00000
        24.90919        21.00000
        24.94259        18.00000
        24.97598        15.00000
        25.00949        18.00000
        25.04288        17.00000
        25.07628        22.00000
        25.10968        31.00000
        25.14318        28.00000
        25.17658        16.00000
        25.20998        18.00000
        25.24338        22.00000
        25.27688        16.00000
        25.31028        26.00000
        25.34368        22.00000
        25.37708        21.00000
        25.41047        23.00000
        25.44397        22.00000
        25.47737        20.00000
        25.51077        28.00000
        25.54417        18.00000
        25.57767        16.00000
        25.61107        16.00000
        25.64447        18.00000
        25.67787        30.00000
        25.71127        20.00000
        25.74477        20.00000
        25.77817        27.00000
        25.81156        18.00000
        25.84496        23.00000
        25.87846        16.00000
        25.91186        15.00000
        25.94526        12.00000
        25.97866        20.00000
        26.01206        32.00000
        26.04556        25.00000
        26.07896        28.00000
        26.11236        17.00000
        26.14575        23.00000
        26.17925        21.00000
        26.21265        23.00000
        26.24605        16.00000
        26.27945        21.00000
        26.31285        17.00000
        26.34635        22.00000
        26.37975        22.00000
        26.41315        17.00000
        26.44655        25.00000
        26.48005        23.00000
        26.51344        22.00000
        26.54684        16.00000
        26.58024        20.00000
        26.61374        18.00000
        26.64714        28.00000
        26.68054        20.00000
        26.71394        15.00000
        26.74734        27.00000
        26.78084        23.00000
        26.81424        13.00000
        26.84764        26.00000
        26.88103        21.00000
        26.91454        25.00000
        26.94793        21.00000
        26.98133        17.00000
        27.01473        17.00000
        27.04813        18.00000
        27.08163        20.00000
        27.11503        21.00000
        27.14843        26.00000
        27.18183        12.00000
        27.21533        27.00000
        27.24873        22.00000
        27.28213        21.00000
        27.31553        26.00000
        27.34892        17.00000
        27.38242        28.00000
        27.41582        27.00000
        27.44922        11.00000
        27.48262        23.00000
        27.51612        21.00000
        27.54952        22.00000
        27.58292        18.00000
        27.61632        18.00000
        27.64981        25.00000
        27.68321        27.00000
        27.71661        20.00000
        27.75001        15.00000
        27.78341        16.00000
        27.81691        26.00000
        27.85031        25.00000
        27.88371        30.00000
        27.91711        20.00000
        27.95061        21.00000
        27.98400        22.00000
        28.01740        26.00000
        28.05080        21.00000
        28.08420        17.00000
        28.11770        16.00000
        28.15110        30.00000
        28.18450        22.00000
        28.21790        15.00000
        28.25140        18.00000
        28.28480         8.00000
        28.31820        18.00000
        28.35159        25.00000
        28.38499        17.00000
        28.41849        25.00000
        28.45189        16.00000
        28.48529        15.00000
        28.51869        16.00000
        28.55219        32.00000
        28.58559        16.00000
        28.61899        22.00000
        28.65239        25.00000
        28.68579        18.00000
        28.71928        20.00000
        28.75268        17.00000
        28.78608        27.00000
        28.81948        26.00000
        28.85298        20.00000
        28.88638        21.00000
        28.91978        27.00000
        28.95318        26.00000
        28.98668        21.00000
        29.02008        17.00000
        29.05347        18.00000
        29.08687        25.00000
        29.12027        21.00000
        29.15377        25.00000
        29.18717        18.00000
        29.22057        25.00000
        29.25397        25.00000
        29.28747        30.00000
        29.32087        32.00000
        29.35427        18.00000
        29.38766        28.00000
        29.42106        12.00000
        29.45456        22.00000
        29.48796        22.00000
        29.52136        32.00000
        29.55476        37.00000
        29.58826        17.00000
        29.62166        21.00000
        29.65506        17.00000
        29.68846        17.00000
        29.72186        28.00000
        29.75535        22.00000
        29.78875        27.00000
        29.82215        26.00000
        29.85555        22.00000
        29.88905        21.00000
        29.92245        21.00000
        29.95585        23.00000
        29.98925        17.00000
        30.02265        21.00000
        30.05615        23.00000
        30.08954        22.00000
        30.12294        25.00000
        30.15634        22.00000
        30.18984        17.00000
        30.22324        27.00000
        30.25664        23.00000
        30.29004        28.00000
        30.32354        23.00000
        30.35694        28.00000
        30.39034        26.00000
        30.42373        25.00000
        30.45713        22.00000
        30.49063        25.00000
        30.52403        31.00000
        30.55743        23.00000
        30.59083        23.00000
        30.62433        35.00000
        30.65773        32.00000
        30.69113        36.00000
        30.72453        27.00000
        30.75793        36.00000
        30.79142        28.00000
        30.82482        23.00000
        30.85822        26.00000
        30.89162        33.00000
        30.92512        32.00000
        30.95852        47.00000
        30.99192        18.00000
        31.02532        41.00000
        31.05872        38.00000
        31.09221        41.00000
        31.12561        32.00000
        31.15901        27.00000
        31.19241        31.00000
        31.22591        26.00000
